# plot_type: generalstats
Sample	% Magic
SAMPLE_01	57.99087052
SAMPLE_02	39.12145114
SAMPLE_03	36.14175885
SAMPLE_04	78.25359712
SAMPLE_05	35.47539651
SAMPLE_06	1.934214193
SAMPLE_07	53.07237555
SAMPLE_08	24.79717599
SAMPLE_09	0.17456492
SAMPLE_10	6.313645381
SAMPLE_11	40.3413558
SAMPLE_12	82.3711763
SAMPLE_13	47.33153853
SAMPLE_14	9.839524904
SAMPLE_15	17.41310105
SAMPLE_16	33.22027292
SAMPLE_17	49.33817457
SAMPLE_18	19.23188755
SAMPLE_19	98.74816615
SAMPLE_20	45.65959512
SAMPLE_21	49.0907768
SAMPLE_22	95.06952882
SAMPLE_23	90.95266849
SAMPLE_24	57.81451443
SAMPLE_25	70.08364548
SAMPLE_26	76.11448911
SAMPLE_27	30.96218638
SAMPLE_28	70.23154802
SAMPLE_29	0.065054105
SAMPLE_30	75.61400483
SAMPLE_31	44.48264903
SAMPLE_32	73.24987637
SAMPLE_33	15.50548583
SAMPLE_34	49.77961789
SAMPLE_35	51.1304944
SAMPLE_36	15.3693614
SAMPLE_37	92.34842361
SAMPLE_38	1.403048653
SAMPLE_39	29.38544992
SAMPLE_40	30.57982129
SAMPLE_41	53.86540422
SAMPLE_42	80.3034682
SAMPLE_43	4.253833394
SAMPLE_44	31.23281171
SAMPLE_45	62.65038456
SAMPLE_46	12.13538658
SAMPLE_47	52.74408639
SAMPLE_48	23.38671036
